Intervalos,Densidade de Probabilidade
-4.101605728430666,0.12230597077000886
-4.101401323037841,0.0
-4.101196917645018,0.0
-4.100992512252194,0.0
-4.100788106859369,0.0
-4.100583701466546,0.0
-4.100379296073721,0.0
-4.100174890680897,0.0
-4.099970485288074,0.0
-4.099766079895248,0.0
-4.099561674502425,0.0
-4.099357269109602,0.0
-4.0991528637167765,0.0
-4.098948458323953,0.0
-4.098744052931128,0.0
-4.0985396475383045,0.0
-4.098335242145481,0.0
-4.098130836752656,0.0
-4.0979264313598325,0.0
-4.097722025967008,0.0
-4.097517620574184,0.0
-4.0973132151813605,0.0
-4.097108809788535,0.0
-4.096904404395712,0.0
-4.096699999002888,0.0
-4.096495593610063,0.0
-4.09629118821724,0.0
-4.096086782824415,0.0
-4.095882377431591,0.0
-4.095677972038768,0.0
-4.095473566645943,0.0
-4.095269161253119,0.0
-4.095064755860295,0.0
-4.094860350467471,0.0
-4.094655945074647,0.0
-4.094451539681822,0.0
-4.094247134288999,0.0
-4.0940427288961745,0.0
-4.09383832350335,0.0
-4.093633918110527,0.0
-4.093429512717702,0.0
-4.093225107324878,0.0
-4.093020701932055,0.0
-4.09281629653923,0.0
-4.092611891146406,0.0
-4.092407485753582,0.0
-4.092203080360758,0.0
-4.091998674967934,0.0
-4.091794269575109,0.0
-4.091589864182286,0.0
-4.091385458789461,0.0
-4.091181053396637,0.0
-4.090976648003814,0.0
-4.0907722426109885,0.0
-4.090567837218165,0.0
-4.090363431825342,0.0
-4.0901590264325165,0.0
-4.089954621039693,0.0
-4.089750215646869,0.0
-4.0895458102540445,0.0
-4.089341404861221,0.0
-4.089136999468396,0.0
-4.0889325940755725,0.0
-4.088728188682748,0.0
-4.088523783289924,0.0
-4.0883193778971005,0.0
-4.088114972504275,0.0
-4.087910567111452,0.0
-4.0877061617186286,0.0
-4.087501756325803,0.0
-4.08729735093298,0.0
-4.087092945540155,0.0
-4.086888540147331,0.0
-4.086684134754508,0.0
-4.086479729361683,0.0
-4.086275323968859,0.0
-4.086070918576035,0.0
-4.085866513183211,0.0
-4.085662107790387,0.0
-4.085457702397562,0.0
-4.085253297004739,0.0
-4.085048891611915,0.0
-4.08484448621909,0.0
-4.084640080826267,0.0
-4.084435675433442,0.0
-4.084231270040618,0.0
-4.084026864647795,0.0
-4.08382245925497,0.0
-4.083618053862146,0.0
-4.083413648469322,0.0
-4.083209243076498,0.0
-4.083004837683674,0.0
-4.082800432290849,0.0
-4.082596026898026,0.0
-4.082391621505202,0.0
-4.082187216112377,0.0
-4.081982810719554,0.0
-4.0817784053267285,0.0
-4.081573999933905,0.0
-4.081369594541082,0.0
-4.0811651891482565,0.0
-4.080960783755433,0.0
-4.080756378362609,0.0
-4.080551972969785,0.0
-4.080347567576961,0.0
-4.080143162184136,0.0
-4.079938756791313,0.0
-4.079734351398488,0.0
-4.079529946005664,0.0
-4.079325540612841,0.0
-4.079121135220015,0.0
-4.078916729827192,0.0
-4.078712324434369,0.0
-4.078507919041543,0.0
-4.07830351364872,0.0
-4.078099108255896,0.0
-4.077894702863071,0.0
-4.077690297470248,0.0
-4.077485892077423,0.0
-4.077281486684599,0.0
-4.077077081291775,0.0
-4.076872675898951,0.0
-4.0766682705061275,0.0
-4.076463865113302,0.0
-4.076259459720479,0.0
-4.0760550543276555,0.0
-4.07585064893483,0.0
-4.075646243542007,0.0
-4.075441838149183,0.0
-4.075237432756358,0.0
-4.075033027363535,0.0
-4.07482862197071,0.0
-4.074624216577886,0.0
-4.074419811185062,0.0
-4.074215405792238,0.0
-4.074011000399414,0.0
-4.073806595006589,0.0
-4.073602189613766,0.0
-4.073397784220942,0.0
-4.073193378828117,0.0
-4.072988973435294,0.0
-4.0727845680424695,0.0
-4.072580162649645,0.0
-4.072375757256822,0.0
-4.072171351863997,0.0
-4.071966946471173,0.0
-4.071762541078349,0.0
-4.071558135685525,0.0
-4.071353730292701,0.0
-4.071149324899876,0.0
-4.070944919507053,0.0
-4.070740514114229,0.0
-4.070536108721404,0.0
-4.070331703328581,0.0
-4.0701272979357555,0.0
-4.069922892542932,0.0
-4.069718487150109,0.0
-4.0695140817572835,0.0
-4.06930967636446,0.0
-4.069105270971636,0.0
-4.0689008655788115,0.0
-4.068696460185988,0.0
-4.068492054793163,0.0
-4.0682876494003395,0.0
-4.068083244007516,0.0
-4.067878838614691,0.0
-4.0676744332218675,0.0
-4.067470027829042,0.0
-4.067265622436219,0.0
-4.0670612170433955,0.0
-4.06685681165057,0.0
